年代,標題,時間,小標,內文,資料來源,更新時間
2024,柯文哲案大事記,5月2日,北檢他字案偵辦京華城、北士科等案,民眾告發京華城、北士科等案，分他字案偵辦，柯文哲被列為貪污治罪條例被告,中央社,2026/03/26
,,8月12日,北檢主動簽分他字案偵辦柯文哲政治獻金案,柯文哲政治獻金案，北檢主動簽分他字案偵辦,,
,,8月14日,搜索木可公司，約談李文娟、端木正,北檢搜索端木正所屬精華會計師事務所、木可、尼奧、時樂等公司，以及木可公司董事長李文娟、端木正等人住處，並約談李文娟、端木正、柯文哲前競總財務長李文宗等6人到案,,
,,8月27日,北檢拘提企圖離境的國民黨台北市議員應曉薇,,,
,,8月28-30日,應曉薇、沈慶京羈押禁見,北檢搜索威京集團等地，約談威京集團主席沈慶京等人，陸續聲請羈押禁見應曉薇、沈慶京及應曉薇助理吳順民獲准,,
,,8月30-31日,搜索柯文哲住處，約談柯文哲、彭振聲,北檢搜索柯文哲住處等地，約談柯文哲、前台北市副市長彭振聲等人，陸續聲押禁見彭振聲、柯文哲,,
,,9月2日,彭振聲羈押禁見,北院裁准柯文哲無保請回，彭振聲羈押禁見。北檢3日提起抗告，台灣高等法院4日撤銷發回更裁,,
,,9月5日,柯文哲羈押禁見,"北院裁定柯文哲羈押禁見，北檢6日赴台北看守所就訊柯文哲
高院駁回彭振聲、沈慶京、吳順民、應曉薇抗告，4人羈押禁見確定",,
,,9月9日,柯文哲辯護人表示，羈押禁見的認事用法存在多處明顯違誤，但柯文哲不願抗告，因此尊重當事人意願，不再抗告,,,
,,9月27-28日,李文宗、朱亞虎羈押禁見,北檢再度搜索威京集團等地，約談前台北市長辦公室主任李文宗、前鼎越開發公司董事長朱亞虎等人，並聲請羈押禁見李文宗、朱亞虎獲准,,
,,10月22日,北檢聲請延押應曉薇、沈慶京，另聲請吳順民具保停押。北院25日裁定吳順民500萬元交保；分別於28日、29日裁准應、沈延押,,,
,,10月25日,北檢聲請延押柯文哲，通緝柯文哲秘書許芷瑜,北檢聲請延押柯文哲，並對柯文哲秘書許芷瑜發布通緝。11月1日北院裁定柯文哲延押禁見；柯文哲未提抗告而確定,,
,,11月6日,北院裁准扣押京華城土地，扣押期間不得處分,,,
,,11月14日,扣押木可相關帳戶,北檢查出柯文哲、李文宗等人，涉嫌以木可公司侵占政治獻金，向北院聲請扣押木可相關帳戶3883萬7712元獲准,,
,,11月22日,北檢聲請具保停押朱亞虎，北院諭知以200萬元交保,,,
,,12月26日,柯文哲等11人遭起訴,北檢偵辦京華城案、政治獻金案偵查終結，依貪污治罪條例收賄、圖利、公益侵占、背信等罪起訴柯文哲等11人,,
,,12月27日,北院裁定交保,在押5被告移審北院，北院裁定柯文哲3000萬元交保、沈慶京4000萬元交保、應曉薇1500萬元交保、彭振聲500萬元交保、李文宗除偵查中的200萬元外，加保800萬元，均限制出境、出海、住居，且不得接觸同案被告、證人。北檢對彭振聲以外被告提抗告成功，高院撤銷發回更裁,,
,,12月29日,北院重裁柯文哲加保至7000萬元，沈慶京加保至1億元、應曉薇加保至3000萬元、李文宗加保至2000萬元。北檢再提抗告成功，高院撤銷發回更裁,,,
2025,,1月2日,北院改裁柯文哲等4人羈押禁見,北院改裁定柯文哲、沈慶京、應曉薇、李文宗均應予羈押，並禁止接見、通信,,
,,1月23日,北院首度召開準備程序庭，彭振聲、前台北市都委會執秘邵琇珮認罪，李文宗否認犯罪,,,
,,3月4日,北院提訊應曉薇、傳喚李文娟，應曉薇否認收賄,,,
,,3月20日,北院首度提訊柯文哲,柯文哲說，報帳很亂但沒有意圖侵占，自己絕不會逃亡、串證,,
,,7月21日,北院裁定沈慶京、李文宗交保,沈慶京、李文宗聲請具保停押獲准，北院分別裁定1.8億元、2000萬元交保，限制住居、出境、出海8個月，須電子腳鐶、個案手機監控,,
,,9月5日,北院裁定柯文哲、應曉薇交保,"柯文哲、應曉薇聲請具保停押獲准，北院分別裁定7000萬元、3000萬元交保，限制住居、出境、出海8個月，須電子腳鐶、個案手機監控，柯文哲8日辦保完畢離開法院
12日北檢抗告成功，高院撤銷發回更裁。15日北院維持原交保條件，北檢之後未再抗告而確定",,
,,9月12日,北檢對柯文哲、應曉薇交保抗告成功，高院撤銷發回更裁,,,
,,9月15日,北院維持柯文哲、應曉薇原交保條件，北檢之後未再抗告而確定,,,
,,12月2日,柯文哲聲請言詞辯論、宣示裁判公開播送，北院裁准宣判後5天內公播。柯文哲10日提抗告，高院12日駁回,,,
,,12月24日,言詞辯論終結,"審判長定115年3月26日宣判，諭知柯文哲、應曉薇、沈慶京、李文宗宣判須到庭
檢察官稱柯文哲犯後態度不佳等，建請判處28年6月",,
2026,,3月17日,北院駁回柯文哲聲請暫時解除境管赴日參加兒子畢典,,,
,,3月26日,北院一審宣判,京華城案、柯文哲政治獻金等案,,
