年代,日期,內文
2026,2月28日,"美國與以色列對伊朗各地發動空襲，擊斃伊朗最高領袖、執政近37年的哈米尼，另有多名高階軍事與情報官員喪生。

伊朗向以色列及美國在中東地區的軍事基地發射飛彈與無人機，打擊位於卡達、科威特與阿拉伯聯合大公國的美軍基地。"
2026,3月8日,伊朗宣布由已故最高領袖之子、56歲的穆吉塔巴．哈米尼接任最高領袖。
2026,3月11日,伊朗升高在荷莫茲海峽及周邊地區的攻擊行動，控管航運，導致國際油價飆升，迫使川普政府急忙採取措施安撫全球市場。
2026,3月17日,以色列軍方擊斃伊朗國家安全委員會主席拉里賈尼及巴斯杰民兵指揮官蘇雷曼尼，是對伊朗領導層又一沉重打擊。
2026,3月18日,以色列攻擊占伊朗70%至75%天然氣產量的南帕爾斯天然氣田；伊朗則攻擊全球最大的液化天然氣出口設施、位於卡達的拉斯拉凡工業城。
2026,3月23日,川普表示正與伊朗討論結束戰爭，是戰爭爆發以來首次出現外交談判的跡證。
2026,3月27日,伊朗攻擊沙烏地阿拉伯的蘇爾坦王子空軍基地，造成12名美軍受傷，摧毀至少1架美軍重要的E-3預警機。
2026,4月3日,伊朗擊落一架美軍F-15E雙座戰機，飛行員安全獲救；美軍深入伊朗境內將武器管制官救出。
2026,4月7日,川普宣布與伊朗達成為期兩週的停火，並獲伊朗國家安全委員會證實。
2026,4月8日,以色列對黎巴嫩發動自戰爭開始以來最猛烈的一輪轟炸，堅稱美伊停火不涵蓋黎巴嫩。
2026,4月11日,美國副總統范斯參加由巴基斯坦斡旋的和平談判，是1979年伊朗革命推翻王室以來層級最高的美伊會談。
2026,4月13日,美國開始封鎖進出伊朗港口的船舶，試圖重創伊朗經濟。
2026,4月21日,川普宣布延長停火。
2026,5月1日,"川普主張1973年「戰爭權力法」不適用於美伊衝突。戰爭權力法為限制美國總統未經國會批准發動戰爭的權力，規定如國會未正式宣戰或授權使用武力，總統60天內必須終止軍事行動。

日期從川普正式通知國會展開軍事行動的3月2日起算60天，截止日為5月1日。白宮認為由於已達成停火，因此無須遵守規定。"
2026,5月23日,川普表示已與多位中東領袖討論與伊朗關於和平的諒解備忘錄，將很快公布。
2026,6月3日,以色列與黎巴嫩宣布一項由美國斡旋的新停火協議。真主黨反對以色列與黎巴嫩政府直接談判，但表示歡迎更廣泛的美伊停火安排，並希望將黎巴嫩衝突納入。
2026,6月7日,伊朗自4月停火以來首次攻擊以色列，表示此舉是報復以色列在黎巴嫩首都貝魯特附近對真主黨發動的攻擊。隔天清晨以色列發動報復性空襲。
2026,6月14日,美伊雙方宣布達成初步協議，內容包括重開荷莫茲海峽、解除美國對伊朗港口封鎖，雙方在60天內談判處理伊朗核子計畫、制裁解除等更棘手議題。
